bin,time_start,time_end,density_veh_per_mile,flow_vph,speed_mph,N_mainline,density_bin,scenario
22,1320.0,1379.9,49.12296700643494,2069.2130859045055,42.12023377678867,116.30833333333334,50.0,Heavy
23,1380.0,1439.9,48.53026745467714,2109.5251018999143,43.484515527582246,114.905,50.0,Heavy
24,1440.0,1499.9,49.0919945833027,2065.1073256170903,42.09002948181912,116.235,50.0,Heavy
25,1500.0,1559.9,51.11716870492645,2132.030814462549,41.70808523202979,121.03,50.0,Heavy
26,1560.0,1619.9,49.79098585990069,2115.106295167217,42.520269128935624,117.89,50.0,Heavy
27,1620.0,1679.9,52.05619626079927,1992.4894946509162,38.27276900865181,123.25333333333333,50.0,Heavy
28,1680.0,1739.9,52.34621076831021,2160.6791597383512,41.272713402888556,123.94,50.0,Heavy
29,1740.0,1799.9,50.78914258720776,2159.88671278641,42.55082235461168,120.25333333333333,50.0,Heavy
30,1800.0,1859.9,52.10406273291272,2157.3166762333003,41.41884832623556,123.36666666666666,50.0,Heavy
31,1860.0,1919.9,51.98932398358193,2178.457193139293,41.893275166253716,123.095,50.0,Heavy
32,1920.0,1979.9,51.322009048823745,2164.48115385834,42.196034021472784,121.515,50.0,Heavy
33,1980.0,2039.9,50.95385956477466,2106.8166407613453,41.37278091592513,120.64333333333333,50.0,Heavy
34,2040.0,2099.9,52.18642122169617,2112.614461963764,40.484311135453915,123.56166666666667,50.0,Heavy
35,2100.0,2159.9,51.83305403050565,2175.9483319159517,41.98594290731545,122.725,50.0,Heavy
36,2160.0,2219.9,51.36142849644659,2158.8115626029016,42.076260842580886,121.60833333333333,50.0,Heavy
37,2220.0,2279.9,52.96425139353984,2090.8857958577332,39.520185319594816,125.40333333333334,50.0,Heavy
38,2280.0,2339.9,53.24370712043752,2218.6106812962403,41.67716009613477,126.065,50.0,Heavy
39,2340.0,2399.9,51.30511499984252,2048.0747806920376,39.9462459725977,121.475,50.0,Heavy
40,2400.0,2459.9,51.590905995108166,2112.375875620279,40.952552181319355,122.15166666666667,50.0,Heavy
41,2460.0,2519.9,49.33343869999264,2058.9869719515486,41.7432127096231,116.80666666666667,50.0,Heavy
42,2520.0,2579.9,51.491653457343496,2097.1889488537595,40.77106858240568,121.91666666666667,50.0,Heavy
43,2580.0,2639.9,49.474926360210354,2080.6728938762453,42.048621608615385,117.14166666666667,50.0,Heavy
44,2640.0,2699.9,47.96572465122137,2032.971319499649,42.40343692906087,113.56833333333333,50.0,Heavy
45,2700.0,2759.9,49.074396615613935,2024.9975331350743,41.28930995348406,116.19333333333333,50.0,Heavy
46,2760.0,2819.9,49.87545610480678,2091.0445135818513,41.92772192116021,118.09,50.0,Heavy
47,2820.0,2879.9,48.71328631864036,2073.46239730019,42.5885917313204,115.33833333333334,50.0,Heavy
48,2880.0,2939.9,49.76705262384395,2026.1174946577478,40.72680118990596,117.83333333333333,50.0,Heavy
49,2940.0,2999.9,48.42608748595961,2025.743978188809,41.82209897345625,114.65833333333333,50.0,Heavy
50,3000.0,3059.9,48.528155698554485,2002.4491149142696,41.260161997148,114.9,50.0,Heavy
51,3060.0,3119.9,48.19801782471315,2028.5887200630534,42.13385753501596,114.11833333333334,50.0,Heavy
52,3120.0,3179.9,49.74593506261743,2023.4756400098101,40.667874364955324,117.78333333333333,50.0,Heavy
53,3180.0,3239.9,47.74750985188061,2012.4036923282965,42.144816632732315,113.05166666666666,50.0,Heavy
54,3240.0,3299.9,47.395550498105194,2030.5540667610383,42.87454450112291,112.21833333333333,50.0,Heavy
55,3300.0,3359.9,47.928416959721176,2032.2294792552098,42.40326155581317,113.48,50.0,Heavy
56,3360.0,3419.9,46.87042714227228,1997.3580001806215,42.6339637467395,110.975,50.0,Heavy
57,3420.0,3479.9,47.19845325999096,1936.9475177900272,41.05421470715406,111.75166666666667,50.0,Heavy
58,3480.0,3539.9,48.652749309790984,2102.0674355744413,43.19096798871758,115.195,50.0,Heavy
59,3540.0,3599.9,47.89110926822098,2060.3122602161798,43.019256678103346,113.39166666666667,50.0,Heavy
60,3600.0,3659.9,45.48933863805754,1953.3107470524944,42.98093767656484,107.705,50.0,Heavy
61,3660.0,3719.9,46.600122358572754,1994.8171344056625,42.80419962712515,110.335,50.0,Heavy
62,3720.0,3779.9,47.0689322178016,2025.3366884040224,43.04234525534136,111.445,50.0,Heavy
63,3780.0,3839.9,48.04526746517461,1992.8371831150275,41.51654350129862,113.75666666666666,50.0,Heavy
64,3840.0,3899.9,47.717241347455925,2028.2145902520806,42.50468534967806,112.98,50.0,Heavy
65,3900.0,3959.9,46.73597866913006,2031.9790062021123,43.50846997439077,110.65666666666667,50.0,Heavy
66,3960.0,4019.9,47.63840245221023,1987.3910129717842,41.75253174056876,112.79333333333334,50.0,Heavy
67,4020.0,4079.9,48.78438210810299,2068.524899836417,42.39908254281522,115.50666666666666,50.0,Heavy
68,4080.0,4139.9,46.80566662117759,1993.6771753738835,42.60228648642267,110.82166666666667,50.0,Heavy
69,4140.0,4199.9,46.73316299429986,1988.9872587193684,42.588639246980804,110.65,50.0,Heavy
70,4200.0,4259.9,47.09568112868854,1997.6390188701223,42.41448694729436,111.50833333333334,50.0,Heavy
71,4260.0,4319.9,45.85256069115376,2006.6614531366233,43.78128402852856,108.565,50.0,Heavy
72,4320.0,4379.9,45.982785652050666,1949.9847590079105,42.414262878746996,108.87333333333333,50.0,Heavy
73,4380.0,4439.9,48.06216151415583,1991.0322443953992,41.42402240172512,113.79666666666667,50.0,Heavy
74,4440.0,4499.9,46.347415542562,1969.7322789057869,42.49651743503093,109.73666666666666,50.0,Heavy
75,4500.0,4559.9,47.46875804369048,2007.6082688367665,42.29358714501059,112.39166666666667,50.0,Heavy
76,4560.0,4619.9,48.568982983592434,1964.3501387634733,40.439565142328135,114.99666666666667,50.0,Heavy
77,4620.0,4679.9,48.17478850736397,1983.3259796945654,41.16408335445969,114.06333333333333,50.0,Heavy
78,4680.0,4739.9,47.50113830423782,2014.4992664577192,42.45272643956717,112.46833333333333,50.0,Heavy
79,4740.0,4799.9,47.606022191662895,2022.8386960870373,42.491632363295636,112.71666666666667,50.0,Heavy
